Pattern_Amp_CH-1	Pattern_Amp_CH-2	Pattern_Amp_CH-3
0.415182	0.509041	0.0757766
0.415352	0.508945	0.0757033
0.415518	0.508852	0.0756297
0.415679	0.508764	0.0755564
0.415836	0.508681	0.0754828
0.415989	0.508603	0.0754077
0.416136	0.508535	0.0753298
0.416278	0.508472	0.0752499
0.416423	0.508408	0.0751694
0.416568	0.508344	0.0750884
0.416707	0.508287	0.0750061
0.416835	0.508243	0.0749218
0.416954	0.508209	0.0748366
0.417071	0.508177	0.074752
0.417197	0.508135	0.074668
0.41734	0.508076	0.0745834
0.417508	0.507994	0.0744983
0.417696	0.50789	0.0744143
0.417899	0.507769	0.0743324
0.418111	0.507637	0.0742525
